gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160255	60158.60423864894	3.1332200001183628	0.1449541975605184	21.615241592505406	1.2912503175300429e-103	2.956963227143798e-101
ENSG00000156265	31991.365762142254	3.0021188114576556	0.1449954334932186	20.704919728372438	3.127554671462182e-95	3.5810500988241986e-93
ENSG00000180509	35048.50122647027	3.2337168864309467	0.17069366517671936	18.944562957758716	4.8963944604943804e-80	3.7375811048440436e-78
ENSG00000142192	47702.0641493037	3.092297411531776	0.18254612092701825	16.939814419656024	2.2884542526503126e-64	1.310140059642304e-62
ENSG00000183527	7913.508201252418	2.83479073473036	0.16848827623486065	16.824854512600414	1.604553680258474e-63	7.348855855583811e-62
ENSG00000159128	10520.168291331956	2.4963748239758057	0.15260711186419168	16.35818143388614	3.8031640966667776e-60	1.4515409635611534e-58
ENSG00000142168	6495.153351408517	2.9857117790340326	0.2249838279276363	13.270783978279344	3.419840886239038e-40	1.1187765184981995e-38
ENSG00000160307	4690.158899495938	3.358737393374031	0.2885704049253164	11.639230274647502	2.603546134230881e-31	7.452650809235896e-30
ENSG00000159197	1665.5847653125184	2.2394664252971443	0.2023515403902651	11.067207202762082	1.8095226659340097e-28	4.604229894432091e-27
ENSG00000160284	7006.474680920593	3.450302087399464	0.5545547464289576	6.221751972402371	4.916338069591033e-10	1.1258414179363465e-8
ENSG00000183421	2747.2074445876933	-0.6357966629138387	0.17885041216752082	-3.5549074514758052	3.7811215594895975e-4	0.007871607610210161
ENSG00000166265	1156.252918756677	-0.6738360942884398	0.20724921801676618	-3.251332384925705	0.0011486548301234542	0.02192016300818925
ENSG00000156256	5806.34290882996	-0.4447781480490532	0.1449038387330503	-3.0694711191775093	0.002144381378494849	0.03777410274425542
