gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160255	60158.60423864894	3.1332200001183628	0.1449541975605184	21.615241592505406	1.2912503175300429e-103	2.956963227143798e-101
ENSG00000156265	31991.365762142254	3.0021188114576556	0.1449954334932186	20.704919728372438	3.127554671462182e-95	3.5810500988241986e-93
ENSG00000180509	35048.50122647027	3.2337168864309467	0.17069366517671936	18.944562957758716	4.8963944604943804e-80	3.7375811048440436e-78
ENSG00000142192	47702.0641493037	3.092297411531776	0.18254612092701825	16.939814419656024	2.2884542526503126e-64	1.310140059642304e-62
ENSG00000183527	7913.508201252418	2.83479073473036	0.16848827623486065	16.824854512600414	1.604553680258474e-63	7.348855855583811e-62
ENSG00000159128	10520.168291331956	2.4963748239758057	0.15260711186419168	16.35818143388614	3.8031640966667776e-60	1.4515409635611534e-58
ENSG00000142168	6495.153351408517	2.9857117790340326	0.2249838279276363	13.270783978279344	3.419840886239038e-40	1.1187765184981995e-38
ENSG00000160307	4690.158899495938	3.358737393374031	0.2885704049253164	11.639230274647502	2.603546134230881e-31	7.452650809235896e-30
ENSG00000159197	1665.5847653125184	2.2394664252971443	0.2023515403902651	11.067207202762082	1.8095226659340097e-28	4.604229894432091e-27
ENSG00000160284	7006.474680920593	3.450302087399464	0.5545547464289576	6.221751972402371	4.916338069591033e-10	1.1258414179363465e-8
ENSG00000183421	2747.2074445876933	-0.6357966629138387	0.17885041216752082	-3.5549074514758052	3.7811215594895975e-4	0.007871607610210161
ENSG00000166265	1156.252918756677	-0.6738360942884398	0.20724921801676618	-3.251332384925705	0.0011486548301234542	0.02192016300818925
ENSG00000156256	5806.34290882996	-0.4447781480490532	0.1449038387330503	-3.0694711191775093	0.002144381378494849	0.03777410274425542
ENSG00000272804	578.1548007893191	-1.0481800913108872	0.3580912899508788	-2.9271309320443715	0.003421048248749457	0.05595857492597327
ENSG00000154736	2764.178669959586	-0.6493515883209837	0.2281781665585055	-2.8458094747399425	0.004429869082306497	0.06762933465654586
ENSG00000184900	2641.9001150682293	0.5402226543959636	0.1953335753990207	2.7656415610701615	0.005681094132622181	0.08131065977315496
ENSG00000285815	1192.3027994501126	-0.556402324620086	0.21387110535324025	-2.6015778227783692	0.009279600827914184	0.12500168174072637
ENSG00000275464	3626.0733882669574	-0.44959888135382503	0.1780576391160327	-2.525018772493329	0.011569210909905765	0.1471860721315789
ENSG00000154721	4214.646167904063	-0.4678649778468237	0.19134246547381023	-2.4451706352182554	0.014478362366036267	0.17450236746433184
ENSG00000184351	193.2208024341398	0.9789709233394149	0.4143480310968149	2.3626778694905215	0.018143432540037717	0.20774230258343185
ENSG00000142178	2034.0923702175373	0.5077687933058158	0.21681705725729747	2.341922723834615	0.019184686657786415	0.2092044402206233
ENSG00000157542	8980.017439375186	0.408242536199996	0.18076097620907008	2.2584660957341716	0.02391661602824168	0.24499959818139766
ENSG00000156284	755.6233808826981	-0.6255908444303871	0.27834743315420474	-2.247517921545945	0.024606946542236444	0.24499959818139766
ENSG00000156282	399.5858771556961	-0.8587452377827824	0.3858848287158481	-2.2253925883547288	0.026054894661484935	0.24860711989500206
ENSG00000160213	3466.9261473170404	0.46329099226346987	0.22689045335792668	2.041914877452398	0.041159975747205764	0.3770253778444048
ENSG00000186965	136.92090715321243	-0.9388710049333767	0.47257751344962035	-1.9867026640349574	0.04695535643518994	0.3989696116611088
ENSG00000160282	4489.2707943227315	0.33770522975247574	0.17004812876835815	1.985939111464745	0.047040085217685317	0.3989696116611088
ENSG00000184724	162.04278776814795	0.8455312526826763	0.4342975444411021	1.9468939290706588	0.0515474526337763	0.4215845233262419
ENSG00000205929	1291.5242879953455	-0.3913859051273428	0.20781684780392595	-1.8833213440741494	0.0596568325771382	0.47082905237318823
ENSG00000160214	4552.871173317962	0.3183394611686221	0.17136575210060168	1.8576609227130652	0.06321718109476995	0.47082905237318823
ENSG00000171189	8602.893286457434	-0.3165845882469572	0.17075600481084802	-1.854017307313135	0.06373668394571544	0.47082905237318823
ENSG00000160216	13268.782366646372	0.29166027616961976	0.16009895577288916	1.8217500218012599	0.06849292421342469	0.4843286629452065
ENSG00000205670	1965.5696774479443	0.4065617648093014	0.22421781385159475	1.8132447097998932	0.06979408679996425	0.4843286629452065
ENSG00000142182	1437.727713906509	0.43671416429772625	0.2573119224435951	1.6972169814379963	0.08965564577823489	0.5286120256064464
ENSG00000154734	4209.09740273588	-0.31231390305061346	0.18453396179695733	-1.6924467453543992	0.09056082592054503	0.5286120256064464
ENSG00000159082	13439.546726059303	0.2846802521678062	0.16865179450605436	1.6879764191159352	0.09141575563994558	0.5286120256064464
ENSG00000244362	175.62093135765963	0.7165276261300665	0.42739610617183593	1.6764954471578277	0.09364118725877926	0.5286120256064464
ENSG00000156239	3402.896205461666	-0.3996488678013304	0.2386421002474821	-1.6746788072468244	0.0939972676973899	0.5286120256064464
ENSG00000183778	7337.966436202886	-0.2924680607234599	0.17488632330322693	-1.67233237682265	0.09445879862220206	0.5286120256064464
ENSG00000205581	7601.93084952643	0.2655265344148306	0.15886155682871042	1.6714335407220624	0.09463607555442176	0.5286120256064464
ENSG00000156299	8645.499286259865	0.2735394967561227	0.16365872410789112	1.6714018653585085	0.09464232772866507	0.5286120256064464
ENSG00000159263	4655.2933858945235	-0.37299785624900506	0.225992112583771	-1.650490594492504	0.09884263545497811	0.5389277028378568
ENSG00000185437	2334.70011957291	0.39678937068943354	0.24838927799025903	1.5974496721432325	0.11016550766189154	0.5866953780133293
ENSG00000182240	6917.807433034003	-0.3683995331735767	0.23454443913824952	-1.5707024840457968	0.11625177194055128	0.6050376312360509
ENSG00000244025	206.19068349130768	0.7596254414919007	0.4893822200802449	1.552212994921114	0.12061126775256549	0.6137773403408332
ENSG00000186866	8023.731418091464	-0.25541052811184034	0.16728867156319724	-1.5267652359553407	0.12681939901766567	0.6313400516314226
ENSG00000205445	534.15744231277	0.46432175560347394	0.3090120773237431	1.5026006738144975	0.13294204953801478	0.6477389222171358
ENSG00000277277	617.2752657360995	0.5746853758678139	0.3870815191439964	1.4846623965377892	0.13763327759689992	0.6491994733868769
ENSG00000160233	2200.030457082898	0.47776378123958085	0.3228447756506713	1.4798560090578545	0.13891167771160248	0.6491994733868769
ENSG00000177692	2184.1082372801816	-0.268096940421899	0.18404830909465733	-1.4566661423877298	0.14520856010465755	0.6650552052793316
ENSG00000160221	5503.313405403709	-0.23036752850662084	0.15931313450212406	-1.4460046199364023	0.1481759060155488	0.6653388721090329
ENSG00000142149	3849.92011815895	0.27844277359210834	0.19866323688265222	1.4015817821219778	0.16104017029381845	0.7091961345631621
ENSG00000197381	15645.910009905492	0.291827225393672	0.21127734649421925	1.3812518485111545	0.1672015378052794	0.7224368331586601
ENSG00000215455	332.75030605603405	0.45722629216408683	0.3467013745164961	1.318789960962015	0.18723934138022114	0.7708008870283631
ENSG00000221837	757.8529050195622	-0.3949118175701321	0.30020449813636363	-1.3154760172539088	0.18834997231204026	0.7708008870283631
